Date,Canada,Germany,Italy,Singapore,United States,Vietnam,China
2003-03-17,2,0,0,0,0,1,1
2003-03-18,2,0,0,0,0,1,1
2003-03-19,2,0,0,0,0,2,5
2003-03-20,2,0,0,0,0,2,6
2003-03-21,2,0,0,0,0,2,6
2003-03-22,2,0,0,0,0,2,7
2003-03-24,3,0,0,0,0,4,10
2003-03-25,3,0,0,0,0,4,10
2003-03-26,3,0,0,1,0,4,41
2003-03-27,3,0,0,2,0,4,44
2003-03-28,3,0,0,2,0,4,44
2003-03-29,3,0,0,2,0,4,44
2003-03-31,4,0,0,2,0,4,47
2003-04-01,4,0,0,3,0,4,50
2003-04-02,6,0,0,4,0,4,62
2003-04-03,6,0,0,4,0,4,63
2003-04-04,7,0,0,5,0,4,66
2003-04-05,7,0,0,6,0,4,69
2003-04-07,9,0,0,6,0,4,76
2003-04-08,10,0,0,8,0,4,78
2003-04-09,10,0,0,9,0,4,80
2003-04-10,10,0,0,9,0,4,85
2003-04-11,10,0,0,9,0,4,90
2003-04-12,10,0,0,9,0,4,97
2003-04-14,12,0,0,12,0,5,111
2003-04-15,12,0,0,13,0,5,120
2003-04-16,12,0,0,13,0,5,125
2003-04-17,12,0,0,15,0,5,130
2003-04-18,13,0,0,16,0,5,146
2003-04-19,13,0,0,16,0,5,146
2003-04-21,13,0,0,16,0,5,180
2003-04-22,13,0,0,16,0,5,191
2003-04-23,13,0,0,17,0,5,211
2003-04-24,15,0,0,19,0,5,219
2003-04-25,15,0,0,19,0,5,230
2003-04-26,18,0,0,21,0,5,243
2003-04-28,18,0,0,23,0,5,269
2003-04-29,20,0,0,24,0,5,298
2003-04-30,20,0,0,24,0,5,316
2003-05-01,20,0,0,25,0,5,332
2003-05-02,22,0,0,25,0,5,351
2003-05-03,22,0,0,25,0,5,369
2003-05-05,22,0,0,26,0,5,393
2003-05-06,22,0,0,27,0,5,407
2003-05-07,22,0,0,27,0,5,423
2003-05-08,22,0,0,27,0,5,432
2003-05-09,22,0,0,27,0,5,440
2003-05-10,22,0,0,27,0,5,447
2003-05-12,22,0,0,28,0,5,470
2003-05-13,22,0,0,28,0,5,487
2003-05-14,23,0,0,28,0,5,494
2003-05-15,23,0,0,28,0,5,505
2003-05-16,23,0,0,28,0,5,513
2003-05-17,23,0,0,28,0,5,525
2003-05-19,23,0,0,28,0,5,540
2003-05-20,23,0,0,28,0,5,547
2003-05-21,23,0,0,28,0,5,551
2003-05-22,23,0,0,29,0,5,558
2003-05-23,23,0,0,31,0,5,563
2003-05-24,23,0,0,31,0,5,570
2003-05-26,26,0,0,31,0,5,584
2003-05-27,26,0,0,31,0,5,590
2003-05-28,26,0,0,31,0,5,595
2003-05-29,26,0,0,31,0,5,600
2003-05-30,28,0,0,31,0,5,602
2003-05-31,30,0,0,31,0,5,610
2003-06-02,30,0,0,31,0,5,616
2003-06-03,31,0,0,31,0,5,617
2003-06-04,31,0,0,31,0,5,617
2003-06-05,31,0,0,31,0,5,620
2003-06-06,31,0,0,31,0,5,624
2003-06-09,32,0,0,31,0,5,628
2003-06-10,32,0,0,31,0,5,633
2003-06-11,32,0,0,31,0,5,633
2003-06-12,32,0,0,31,0,5,634
2003-06-13,32,0,0,31,0,5,636
2003-06-16,32,0,0,31,0,5,641
2003-06-17,32,0,0,31,0,5,641
2003-06-18,33,0,0,31,0,5,642
2003-06-19,34,0,0,31,0,5,643
2003-06-20,34,0,0,31,0,5,643
2003-06-23,35,0,0,31,0,5,643
2003-06-24,37,0,0,31,0,5,643
2003-06-25,37,0,0,31,0,5,644
2003-06-26,37,0,0,32,0,5,644
2003-06-27,37,0,0,32,0,5,645
2003-06-30,37,0,0,32,0,5,646
2003-07-01,38,0,0,32,0,5,646
2003-07-02,38,0,0,32,0,5,646
2003-07-03,38,0,0,32,0,5,646
2003-07-04,38,0,0,32,0,5,646
2003-07-07,38,0,0,32,0,5,646
2003-07-08,38,0,0,32,0,5,646
2003-07-09,38,0,0,32,0,5,646
2003-07-10,38,0,0,32,0,5,646
2003-07-11,38,0,0,32,0,5,646
